# OpenSignals Text File Format. Version 1
# {"00:21:08:35:16:D4": {"position": 0, "device": "bitalino_rev", "device name": "00:21:08:35:16:D4", "device connection": "BTH00:21:08:35:16:D4", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-11-15", "time": "12:2:39.272", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	562	600	509	195	31	33	
1	0	0	0	0	561	600	511	192	32	33	
2	0	0	0	0	562	601	512	195	31	33	
3	0	0	0	0	561	600	511	193	31	33	
4	0	0	0	0	560	599	510	195	31	33	
5	0	0	0	0	561	600	512	193	31	33	
6	0	0	0	0	561	601	511	195	31	33	
7	0	0	0	0	563	600	514	193	31	34	
8	0	0	0	0	562	601	510	195	31	34	
9	0	0	0	0	562	600	511	193	31	34	
10	0	0	0	0	563	600	510	195	31	34	
11	0	0	0	0	562	601	511	193	30	34	
12	0	0	0	0	563	601	510	195	31	34	
13	0	0	0	0	564	601	511	193	31	34	
14	0	0	0	0	564	600	513	195	31	34	
15	0	0	0	0	563	601	511	193	31	34	
0	0	0	0	0	563	599	510	195	31	34	
1	0	0	0	0	563	600	512	193	31	34	
2	0	0	0	0	562	599	512	195	31	34	
3	0	0	0	0	561	600	511	193	31	34	
4	0	0	0	0	563	601	512	195	31	34	
5	0	0	0	0	562	600	512	193	31	34	
6	0	0	0	0	563	601	511	195	31	34	
7	0	0	0	0	561	600	511	193	31	34	
8	0	0	0	0	561	600	512	195	31	34	
9	0	0	0	0	562	600	512	193	31	34	
10	0	0	0	0	561	601	511	195	31	34	
11	0	0	0	0	562	600	512	193	31	34	
12	0	0	0	0	562	600	510	196	31	34	
13	0	0	0	0	563	602	511	193	31	34	
14	0	0	0	0	562	600	510	195	31	34	
15	0	0	0	0	562	600	511	194	31	34	
0	0	0	0	0	563	600	511	195	30	34	
1	0	0	0	0	562	600	513	194	30	34	
2	0	0	0	0	564	600	511	196	30	34	
3	0	0	0	0	563	600	512	194	31	34	
4	0	0	0	0	563	600	510	195	30	34	
